FIPS,Name
09,Connecticut
23,Maine
25,Massachusetts
33,New Hampshire
44,Rhode Island
50,Vermont
00,Middle Atlantic Division
34,New Jersey
36,New York
42,Pennsylvania
00,Midwest Region
00,East North Central Division
17,Illinois
18,Indiana
26,Michigan
39,Ohio
55,Wisconsin
00,West North Central Division
19,Iowa
20,Kansas
27,Minnesota
29,Missouri
31,Nebraska
38,North Dakota
46,South Dakota
00,South Region
00,South Atlantic Division
10,Delaware
11,District of Columbia
12,Florida
13,Georgia
24,Maryland
37,North Carolina
45,South Carolina
51,Virginia
54,West Virginia
00,East South Central Division
01,Alabama
21,Kentucky
28,Mississippi
47,Tennessee
00,West South Central Division
05,Arkansas
22,Louisiana
40,Oklahoma
48,Texas
00,West Region
00,Mountain Division
04,Arizona
08,Colorado
16,Idaho
30,Montana
32,Nevada
35,New Mexico
49,Utah
56,Wyoming
00,Pacific Division
02,Alaska
06,California
15,Hawaii
41,Oregon
53,Washington
